City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Description
160,Severo-Kurilsk,RU,50.6789,156.125,36.21,98,100,9.86,light rain
161,Mar Del Plata,AR,-38.0023,-57.5575,54.88,77,0,11.99,clear sky
162,Langfang,CN,39.5097,116.6947,67.59,34,99,7.63,overcast clouds
163,Nikolskoye,RU,59.7035,30.7861,42.69,76,64,5.53,broken clouds
164,San Pedro,PH,14.35,121.0167,89.31,63,75,5.75,broken clouds
165,Garbolovo,RU,60.3413,30.4955,42.98,76,68,6.13,broken clouds
166,Zlobin,HR,45.2924,14.6541,52.9,77,0,0.0,clear sky
167,Batsfjord,NO,70.6345,29.7185,37.33,100,100,9.22,overcast clouds
168,Broken Hill,AU,-31.95,141.4333,56.91,94,100,10.36,light rain
169,Ponta Do Sol,PT,32.6667,-17.1,68.13,48,0,3.83,clear sky
170,Namatanai,PG,-3.6667,152.4333,85.95,65,75,9.66,broken clouds
171,Kambove,CD,-10.8764,26.5969,57.67,78,6,2.98,clear sky
172,Chumikan,RU,54.7183,135.315,40.91,85,100,4.5,overcast clouds
173,Itarema,BR,-2.9248,-39.9167,76.37,84,100,4.18,overcast clouds
174,Banda Aceh,ID,5.5577,95.3222,85.03,70,89,8.05,overcast clouds
175,Vila,PT,42.0304,-8.1588,44.71,83,37,2.44,scattered clouds
176,Inhambane,MZ,-23.865,35.3833,65.64,90,0,5.17,clear sky
177,Lata,PT,40.1629,-8.3327,52.77,69,6,1.45,clear sky
178,Nasturelu,RO,43.6667,25.4667,51.91,91,15,1.72,few clouds
179,Virginia Beach,US,36.8529,-75.978,60.82,79,100,24.16,overcast clouds
180,Shenjiamen,CN,29.9576,122.298,62.98,97,100,9.89,overcast clouds
181,Sosnovo-Ozerskoye,RU,52.5249,111.5418,37.67,30,89,7.83,overcast clouds
182,Aktau,KZ,43.65,51.2,50.58,71,46,3.53,scattered clouds
183,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,55,100,3.44,overcast clouds
184,Yarada,IN,17.65,83.2667,84.52,89,100,11.5,light intensity drizzle
185,Benguela,AO,-12.5763,13.4055,74.86,82,12,1.63,few clouds
186,Anloga,GH,5.7947,0.8973,81.97,83,99,12.21,light rain
187,Necochea,AR,-38.5473,-58.7368,49.46,74,14,5.75,few clouds
188,Longyearbyen,SJ,78.2186,15.6401,17.44,73,20,8.05,few clouds
189,Saint Anthony,US,45.0205,-93.218,74.8,52,0,4.94,clear sky
190,Bayir,TR,37.2687,28.2167,46.92,65,5,1.7,clear sky
191,Amahai,ID,-3.3333,128.9167,83.7,78,51,3.94,broken clouds
192,Chuy,UY,-33.6971,-53.4616,59.14,93,100,7.99,light rain
193,Bealanana,MG,-14.55,48.7333,59.52,96,6,1.61,clear sky
194,Yulara,AU,-25.2406,130.9889,64.24,34,96,11.5,overcast clouds
195,Catalina,US,32.5056,-110.9211,85.62,11,0,12.73,clear sky
196,Strezhevoy,RU,60.7333,77.5889,54.66,62,100,8.7,overcast clouds
197,Sibolga,ID,1.7427,98.7792,81.28,83,100,3.53,overcast clouds
198,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,81,0,4.61,clear sky
199,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,60,0,8.05,clear sky
200,Hithadhoo,MV,-0.6,73.0833,84.06,74,90,14.92,overcast clouds
201,Kaliganj,BD,23.4095,89.1402,82.58,75,52,15.32,broken clouds
202,Chokurdakh,RU,70.6333,147.9167,16.11,90,97,8.3,overcast clouds
203,Laurens,US,32.4502,-82.9165,66.29,73,0,0.0,clear sky
204,Okha,RU,53.5739,142.9478,36.55,89,30,21.16,scattered clouds
205,Puqi,CN,29.7167,113.8833,70.29,72,100,5.26,overcast clouds
206,Carnarvon,AU,-24.8667,113.6333,73.47,68,98,6.91,overcast clouds
207,Egvekinot,RU,66.3167,-179.1667,31.53,100,100,2.17,overcast clouds
208,Santa Barbara,US,34.7333,-120.0343,56.34,42,0,16.11,clear sky
209,Sharjah,AE,25.3573,55.4033,75.18,73,0,8.05,clear sky
210,Bloomington,US,44.8408,-93.2983,75.18,52,0,5.77,clear sky
211,Kampen,NL,52.555,5.9111,57.96,77,100,8.41,overcast clouds
212,High Level,CA,58.5169,-117.136,37.51,70,75,0.0,broken clouds
213,San Luis,AR,-33.295,-66.3356,60.31,56,99,13.58,overcast clouds
214,Kjollefjord,NO,70.9457,27.3465,37.45,95,100,16.33,overcast clouds
215,Bonavista,CA,48.6499,-53.1147,42.26,71,2,16.17,clear sky
216,Fukue,JP,32.6881,128.8419,66.56,100,75,6.91,mist
217,Nanning,CN,22.8167,108.3167,75.65,93,100,6.44,overcast clouds
218,Petatlan,MX,17.5167,-101.2667,79.23,74,0,1.95,clear sky
219,Harper,LR,4.375,-7.7169,79.65,85,100,5.93,overcast clouds
220,Vangaindrano,MG,-23.35,47.6,65.8,80,0,5.48,clear sky
221,Sioux Lookout,CA,50.1001,-91.917,60.87,36,20,3.44,few clouds
222,Flinders,AU,-34.5833,150.8552,69.39,74,100,5.01,light rain
223,Barahona,DO,18.2085,-71.1008,77.41,85,76,2.44,broken clouds
224,Ketchikan,US,55.3422,-131.6461,40.96,95,100,5.59,moderate rain
225,Deputatskiy,RU,69.3,139.9,15.1,72,88,5.44,overcast clouds
226,Hirara,JP,24.8,125.2833,79.07,94,75,8.05,heavy intensity rain
227,Fairbanks,US,64.8378,-147.7164,43.21,77,100,14.97,overcast clouds
228,Hofn,IS,64.2539,-15.2082,39.22,60,100,21.18,overcast clouds
229,Norman Wells,CA,65.282,-126.8329,46.44,36,100,10.36,overcast clouds
230,San Patricio,US,28.017,-97.5169,80.85,80,50,15.84,scattered clouds
231,Dawei,MM,14.0833,98.2,79.7,86,100,1.97,overcast clouds
